{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.0367 0.8792 1.1942
-3.139 -2.964 3 1.2670 1.2063 1.3278
-2.964 -2.853 3 1.3851 1.2347 1.5354
-2.853 -2.650 3 1.2919 1.2187 1.3650
-2.650 -2.500 3 1.1911 1.1041 1.2780
-2.500 -2.322 3 1.1360 1.0741 1.1979
-2.322 -2.043 3 1.1479 1.0393 1.2564
-2.043 -1.930 3 1.1423 1.0976 1.1870
-1.930 -1.740 3 1.1628 1.1074 1.2182
-1.740 -1.305 3 1.1590 1.1449 1.1732
-1.305 -1.131 3 1.1304 1.0617 1.1992
-1.131 -0.783 3 1.1481 1.1118 1.1844
-0.783 -0.522 3 1.1538 1.1191 1.1885
-0.522 -0.000 3 1.1436 1.1332 1.1541
0.000 0.522 3 1.1436 1.1332 1.1541
0.522 0.783 3 1.1538 1.1191 1.1885
0.783 1.131 3 1.1481 1.1118 1.1844
1.131 1.305 3 1.1304 1.0617 1.1992
1.305 1.740 3 1.1590 1.1449 1.1732
1.740 1.930 3 1.1628 1.1074 1.2182
1.930 2.043 3 1.1423 1.0976 1.1870
2.043 2.322 3 1.1479 1.0393 1.2564
2.322 2.500 3 1.1360 1.0741 1.1979
2.500 2.650 3 1.1911 1.1041 1.2780
2.650 2.853 3 1.2919 1.2187 1.3650
2.853 2.964 3 1.3851 1.2347 1.5354
2.964 3.139 3 1.2670 1.2063 1.3278
3.139 5.191 3 1.0367 0.8792 1.1942
