DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))" 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.059796832501888275" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.019170831888914108" 
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.018440404906868935" 
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.033448714762926102" 
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.06348901242017746" 
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.10567158460617065" 
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.070227041840553284" 
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0617985799908638" 
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.24897776544094086" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.02391873300075531" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0076683331280946732" 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0073761618696153164" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.013379485346376896" 
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.025395605713129044" 
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.042268633842468262" 
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.028090815991163254" 
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.02471943199634552" 
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.099591106176376343" 
0, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.059796832501888275" 
0, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.019170831888914108" 
0, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.018440404906868935" 
0, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.033448714762926102" 
0, mujets, up, 1, -2.5, 2.5, 100, 140, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.06348901242017746" 
0, mujets, up, 1, -2.5, 2.5, 140, 200, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.10567158460617065" 
0, mujets, up, 1, -2.5, 2.5, 200, 300, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.070227041840553284" 
0, mujets, up, 1, -2.5, 2.5, 300, 600, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.0617985799908638" 
0, mujets, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.24897776544094086" 
0, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.02391873300075531" 
0, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.0076683331280946732" 
0, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.0073761618696153164" 
0, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.013379485346376896" 
0, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.025395605713129044" 
0, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.042268633842468262" 
0, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.028090815991163254" 
0, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.02471943199634552" 
0, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.099591106176376343" 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))" 
