OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,incl,central,2,0.0,2.5,20,1000,0,1,1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x 
0,incl,down,2,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0490522+6.44195e-05*x+-9.47618e-08*x*x)) 
0,incl,down_correlated,2,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0454285+6.90715e-05*x+-1.01414e-07*x*x)) 
0,incl,down_uncorrelated,2,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0182876)) 
0,incl,up,2,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0490522+6.44195e-05*x+-9.47618e-08*x*x)) 
0,incl,up_correlated,2,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0454285+6.90715e-05*x+-1.01414e-07*x*x)) 
0,incl,up_uncorrelated,2,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0182876)) 
1,incl,central,2,0.0,2.5,20,1000,0,1,1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x 
1,incl,down,2,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.118505+0.000202743*x+-2.64228e-07*x*x)) 
1,incl,down_correlated,2,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.110898+0.000211159*x+-2.76621e-07*x*x)) 
1,incl,down_uncorrelated,2,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.0435201)) 
1,incl,up,2,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.118505+0.000202743*x+-2.64228e-07*x*x)) 
1,incl,up_correlated,2,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.110898+0.000211159*x+-2.76621e-07*x*x)) 
1,incl,up_uncorrelated,2,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.0435201)) 
2,incl,central,2,0.0,2.5,20,1000,0,1,"1.41865+92.0563/(pow(x,1.5))+-9.85825/x "
2,incl,down,2,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1-(0.213944+0.000187249*x+-2.3611e-07*x*x)) "
2,incl,down_correlated,2,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1-(0.196719+0.000197379*x+-2.54895e-07*x*x)) "
2,incl,down_uncorrelated,2,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1-(0.0888358)) "
2,incl,up,2,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1+(0.213944+0.000187249*x+-2.3611e-07*x*x)) "
2,incl,up_correlated,2,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1+(0.196719+0.000197379*x+-2.54895e-07*x*x)) "
2,incl,up_uncorrelated,2,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1+(0.0888358)) "
0,comb,central,1,0.0,2.5,20,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x) 
0,comb,central,0,0.0,2.5,20,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x) 
0,comb,down_fsr,1,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00032174494117498398 
0,comb,down_fsr,1,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -5.4490101319970563e-05 
0,comb,down_fsr,1,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00045753756421618164 
0,comb,down_fsr,1,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00024231470888480544 
0,comb,down_fsr,1,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00064771226607263088 
0,comb,down_fsr,1,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0047858096659183502 
0,comb,down_fsr,1,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0024451573844999075 
0,comb,down_fsr,1,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00075349706457927823 
0,comb,down_fsr,1,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00032283127075061202 
0,comb,down_fsr,0,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00012869798229075968 
0,comb,down_fsr,0,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -2.1796040527988225e-05 
0,comb,down_fsr,0,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0001830150285968557 
0,comb,down_fsr,0,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-9.6925883553922176e-05 
0,comb,down_fsr,0,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00025908491807058454 
0,comb,down_fsr,0,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0019143238896504045 
0,comb,down_fsr,0,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00097806297708302736 
0,comb,down_fsr,0,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00030139883165247738 
0,comb,down_fsr,0,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00012913250247947872 
0,comb,down_hdamp,1,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0003209860878996551 
0,comb,down_hdamp,1,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00079362443648278713 
0,comb,down_hdamp,1,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0010230042971670628 
0,comb,down_hdamp,1,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0014276157598942518 
0,comb,down_hdamp,1,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0010563555406406522 
0,comb,down_hdamp,1,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0012062434107065201 
0,comb,down_hdamp,1,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00020419896463863552 
0,comb,down_hdamp,1,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00066430255537852645 
0,comb,down_hdamp,1,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0011696422006934881 
0,comb,down_hdamp,0,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00012839442933909595 
0,comb,down_hdamp,0,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00031744976877234876 
0,comb,down_hdamp,0,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0004092017188668251 
0,comb,down_hdamp,0,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00057104631559923291 
0,comb,down_hdamp,0,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00042254221625626087 
0,comb,down_hdamp,0,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00048249735846184194 
0,comb,down_hdamp,0,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-8.1679587310645729e-05 
0,comb,down_hdamp,0,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00026572102797217667 
0,comb,down_hdamp,0,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00046785688027739525 
0,comb,down_isr,1,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -5.1496790547389537e-05 
0,comb,down_isr,1,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00025093898875638843 
0,comb,down_isr,1,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00015517338761128485 
0,comb,down_isr,1,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0005465575959533453 
0,comb,down_isr,1,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00064796418882906437 
0,comb,down_isr,1,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0040665334090590477 
0,comb,down_isr,1,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0044052265584468842 
0,comb,down_isr,1,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0033617899753153324 
0,comb,down_isr,1,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-3.8715301343472674e-05 
0,comb,down_isr,0,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -2.0598716218955815e-05 
0,comb,down_isr,0,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00010037559695774689 
0,comb,down_isr,0,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-6.2069353589322418e-05 
0,comb,down_isr,0,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00021862302673980594 
0,comb,down_isr,0,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00025918567553162575 
0,comb,down_isr,0,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0016266134334728122 
0,comb,down_isr,0,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0017620907165110111 
0,comb,down_isr,0,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0013447159435600042 
0,comb,down_isr,0,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-1.5486120901186951e-05 
0,comb,down_jer,1,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00057387974811717868 
0,comb,down_jer,1,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00028365087928250432 
0,comb,down_jer,1,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0013685383601114154 
0,comb,down_jer,1,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00013063926598988473 
0,comb,down_jer,1,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -3.6109926440985873e-05 
0,comb,down_jer,1,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0009997726883739233 
0,comb,down_jer,1,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0040113264694809914 
0,comb,down_jer,1,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.003062286414206028 
0,comb,down_jer,1,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0013229576870799065 
0,comb,down_jer,0,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00022955190797802061 
0,comb,down_jer,0,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00011346035171300173 
0,comb,down_jer,0,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00054741534404456615 
0,comb,down_jer,0,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-5.2255709306336939e-05 
0,comb,down_jer,0,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -1.444397094019223e-05 
0,comb,down_jer,0,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00039990906952880323 
0,comb,down_jer,0,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0016045304946601391 
0,comb,down_jer,0,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0012249145656824112 
0,comb,down_jer,0,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00052918307483196259 
0,comb,down_jes,1,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.012663545086979866 
0,comb,down_jes,1,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00014392803132068366 
0,comb,down_jes,1,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-5.3465955716092139e-05 
0,comb,down_jes,1,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0022724615409970284 
0,comb,down_jes,1,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0012370490003377199 
0,comb,down_jes,1,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00020410785509739071 
0,comb,down_jes,1,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00027133178082294762 
0,comb,down_jes,1,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00068305112654343247 
0,comb,down_jes,1,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.004559375811368227 
0,comb,down_jes,0,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0050654178485274315 
0,comb,down_jes,0,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-5.757121107308194e-05 
0,comb,down_jes,0,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-2.1386382286436856e-05 
0,comb,down_jes,0,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00090898456983268261 
0,comb,down_jes,0,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00049481960013508797 
0,comb,down_jes,0,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-8.1643142038956285e-05 
0,comb,down_jes,0,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.000108532709418796 
0,comb,down_jes,0,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0002732204447966069 
0,comb,down_jes,0,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0018237503245472908 
0,comb,down_pileup,1,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.010478949174284935 
0,comb,down_pileup,1,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0079607106745243073 
0,comb,down_pileup,1,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0016194711206480861 
0,comb,down_pileup,1,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0030226428061723709 
0,comb,down_pileup,1,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0004227822064422071 
0,comb,down_pileup,1,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00027947954367846251 
0,comb,down_pileup,1,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0010836860164999962 
0,comb,down_pileup,1,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0036492566578090191 
0,comb,down_pileup,1,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0012259397190064192 
0,comb,down_pileup,0,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0041915797628462315 
0,comb,down_pileup,0,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.003184284083545208 
0,comb,down_pileup,0,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00064778845990076661 
0,comb,down_pileup,0,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0012090571690350771 
0,comb,down_pileup,0,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00016911288548726588 
0,comb,down_pileup,0,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00011179182183695957 
0,comb,down_pileup,0,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00043347442988306284 
0,comb,down_pileup,0,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0014597026165574789 
0,comb,down_pileup,0,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00049037591088563204 
0,comb,down_qcdscale,1,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0003026030317414552 
0,comb,down_qcdscale,1,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00091547041665762663 
0,comb,down_qcdscale,1,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0012336071813479066 
0,comb,down_qcdscale,1,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0014867550926283002 
0,comb,down_qcdscale,1,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0020450134761631489 
0,comb,down_qcdscale,1,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00096643576398491859 
0,comb,down_qcdscale,1,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.012237540446221828 
0,comb,down_qcdscale,1,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0014704336645081639 
0,comb,down_qcdscale,1,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-5.503399734152481e-05 
0,comb,down_qcdscale,0,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00012104120833100751 
0,comb,down_qcdscale,0,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00036618817830458283 
0,comb,down_qcdscale,0,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00049344287253916264 
0,comb,down_qcdscale,0,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00059470202540978789 
0,comb,down_qcdscale,0,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00081800541374832392 
0,comb,down_qcdscale,0,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00038657430559396744 
0,comb,down_qcdscale,0,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.0048950160853564739 
0,comb,down_qcdscale,0,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00058817345416173339 
0,comb,down_qcdscale,0,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-2.2013598936609924e-05 
0,comb,down_statistic,1,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.015398375689983368 
0,comb,down_statistic,1,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.010340929962694645 
0,comb,down_statistic,1,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.014701512642204762 
0,comb,down_statistic,1,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.013095783069729805 
0,comb,down_statistic,1,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.015637930482625961 
0,comb,down_statistic,1,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.018096484243869781 
0,comb,down_statistic,1,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.025012664496898651 
