{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.0378 0.9710 1.1046
-3.139 -2.964 3 1.2679 1.2132 1.3226
-2.964 -2.853 3 1.4113 1.1798 1.6427
-2.853 -2.650 3 1.3141 1.2174 1.4107
-2.650 -2.500 3 1.0792 0.9478 1.2105
-2.500 -2.322 3 1.1952 1.1040 1.2863
-2.322 -2.043 3 1.1170 1.0299 1.2041
-2.043 -1.930 3 1.0489 0.9700 1.1277
-1.930 -1.740 3 1.0637 0.9825 1.1450
-1.740 -1.305 3 1.2116 1.1430 1.2801
-1.305 -1.131 3 1.1352 1.0735 1.1970
-1.131 -0.783 3 1.0916 1.0669 1.1163
-0.783 -0.522 3 1.1285 1.1033 1.1538
-0.522 -0.000 3 1.1082 1.0519 1.1644
0.000 0.522 3 1.1082 1.0519 1.1644
0.522 0.783 3 1.1285 1.1033 1.1538
0.783 1.131 3 1.0916 1.0669 1.1163
1.131 1.305 3 1.1352 1.0735 1.1970
1.305 1.740 3 1.2116 1.1430 1.2801
1.740 1.930 3 1.0637 0.9825 1.1450
1.930 2.043 3 1.0489 0.9700 1.1277
2.043 2.322 3 1.1170 1.0299 1.2041
2.322 2.500 3 1.1952 1.1040 1.2863
2.500 2.650 3 1.0792 0.9478 1.2105
2.650 2.853 3 1.3141 1.2174 1.4107
2.853 2.964 3 1.4113 1.1798 1.6427
2.964 3.139 3 1.2679 1.2132 1.3226
3.139 5.191 3 1.0378 0.9710 1.1046

