{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.0063 0.9605 1.0521
-3.139 -2.964 3 1.2023 1.1676 1.2371
-2.964 -2.853 3 1.1994 1.0931 1.3057
-2.853 -2.650 3 1.1637 1.0950 1.2324
-2.650 -2.500 3 1.1146 1.0159 1.2133
-2.500 -2.322 3 1.0084 0.9592 1.0575
-2.322 -2.043 3 1.0213 0.9820 1.0606
-2.043 -1.930 3 0.9889 0.9678 1.0100
-1.930 -1.740 3 1.0155 0.9906 1.0404
-1.740 -1.305 3 1.0556 1.0216 1.0896
-1.305 -1.131 3 1.0684 1.0337 1.1032
-1.131 -0.783 3 1.0833 1.0618 1.1048
-0.783 -0.522 3 1.1084 1.0908 1.1259
-0.522 -0.000 3 1.0910 1.0683 1.1137
0.000 0.522 3 1.0910 1.0683 1.1137
0.522 0.783 3 1.1084 1.0908 1.1259
0.783 1.131 3 1.0833 1.0618 1.1048
1.131 1.305 3 1.0684 1.0337 1.1032
1.305 1.740 3 1.0556 1.0216 1.0896
1.740 1.930 3 1.0155 0.9906 1.0404
1.930 2.043 3 0.9889 0.9678 1.0100
2.043 2.322 3 1.0213 0.9820 1.0606
2.322 2.500 3 1.0084 0.9592 1.0575
2.500 2.650 3 1.1146 1.0159 1.2133
2.650 2.853 3 1.1637 1.0950 1.2324
2.853 2.964 3 1.1994 1.0931 1.3057
2.964 3.139 3 1.2023 1.1676 1.2371
3.139 5.191 3 1.0063 0.9605 1.0521
