OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,incl,central,2,0.0,2.5,20,1000,0,1,0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x
0,incl,down,2,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1-(0.100013+-7.96026e-06*x+2.92325e-09*x*x))
0,incl,down_correlated,2,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1-(0.0356051+1.87843e-05*x+-3.03118e-08*x*x))
0,incl,down_uncorrelated,2,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1-(0.0908603))
0,incl,up,2,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1+(0.100013+-7.96026e-06*x+2.92325e-09*x*x))
0,incl,up_correlated,2,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1+(0.0356051+1.87843e-05*x+-3.03118e-08*x*x))
0,incl,up_uncorrelated,2,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1+(0.0908603))
1,incl,central,2,0.0,2.5,20,1000,0,1,0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x
1,incl,down,2,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1-(0.157113+8.03871e-05*x+-9.43901e-08*x*x))
1,incl,down_correlated,2,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1-(0.0918283+0.000126264*x+-1.50781e-07*x*x))
1,incl,down_uncorrelated,2,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1-(0.128036))
1,incl,up,2,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1+(0.157113+8.03871e-05*x+-9.43901e-08*x*x))
1,incl,up_correlated,2,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1+(0.0918283+0.000126264*x+-1.50781e-07*x*x))
1,incl,up_uncorrelated,2,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1+(0.128036))
2,incl,central,2,0.0,2.5,20,1000,0,1,"1.17135+321.802/(pow(x,1.5))+-70.4986/x"
2,incl,down,2,0.0,2.5,20,1000,0,1,"(1.17135+321.802/(pow(x,1.5))+-70.4986/x)*(1-(0.194997+0.000198635*x+-1.87175e-07*x*x))"
2,incl,down_correlated,2,0.0,2.5,20,1000,0,1,"(1.17135+321.802/(pow(x,1.5))+-70.4986/x)*(1-(0.15611+0.000239285*x+-2.36897e-07*x*x))"
2,incl,down_uncorrelated,2,0.0,2.5,20,1000,0,1,"(1.17135+321.802/(pow(x,1.5))+-70.4986/x)*(1-(0.12207))"
2,incl,up,2,0.0,2.5,20,1000,0,1,"(1.17135+321.802/(pow(x,1.5))+-70.4986/x)*(1+(0.194997+0.000198635*x+-1.87175e-07*x*x))"
2,incl,up_correlated,2,0.0,2.5,20,1000,0,1,"(1.17135+321.802/(pow(x,1.5))+-70.4986/x)*(1+(0.15611+0.000239285*x+-2.36897e-07*x*x))"
2,incl,up_uncorrelated,2,0.0,2.5,20,1000,0,1,"(1.17135+321.802/(pow(x,1.5))+-70.4986/x)*(1+(0.12207))"
0,comb,central,1,0.0,2.5,20,1000,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))
0,comb,central,0,0.0,2.5,20,1000,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))
0,comb,down,1,0.0,2.5,20,30,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.058268874883651733
0,comb,down,1,0.0,2.5,30,50,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.017883164808154106
0,comb,down,1,0.0,2.5,50,70,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.016103282570838928
0,comb,down,1,0.0,2.5,70,100,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.020688159391283989
0,comb,down,1,0.0,2.5,100,140,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.022079382091760635
0,comb,down,1,0.0,2.5,140,200,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.020563285797834396
0,comb,down,1,0.0,2.5,200,300,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.041976355016231537
0,comb,down,1,0.0,2.5,300,600,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.058744482696056366
0,comb,down,1,0.0,2.5,600,1000,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.23984633386135101
0,comb,down,0,0.0,2.5,20,30,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.023307550698518753
