OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula 
0,incl,central,2,0.0,2.5,20.0,1000.0,0.0,1.0,1.34198+-0.000555031*x+3.20633e-07*x*x+0.888495/x 
0,incl,down,2,0.0,2.5,20.0,1000.0,0.0,1.0,(1.34198+-0.000555031*x+3.20633e-07*x*x+0.888495/x)*(1-(0.0663918+6.22127e-05*x+-9.14037e-08*x*x)) 
0,incl,down_correlated,2,0.0,2.5,20.0,1000.0,0.0,1.0,(1.34198+-0.000555031*x+3.20633e-07*x*x+0.888495/x)*(1-(0.0435875+9.01961e-05*x+-1.30403e-07*x*x)) 
0,incl,down_uncorrelated,2,0.0,2.5,20.0,1000.0,0.0,1.0,(1.34198+-0.000555031*x+3.20633e-07*x*x+0.888495/x)*(1-(0.0490189)) 
0,incl,up,2,0.0,2.5,20.0,1000.0,0.0,1.0,(1.34198+-0.000555031*x+3.20633e-07*x*x+0.888495/x)*(1+(0.0663918+6.22127e-05*x+-9.14037e-08*x*x)) 
0,incl,up_correlated,2,0.0,2.5,20.0,1000.0,0.0,1.0,(1.34198+-0.000555031*x+3.20633e-07*x*x+0.888495/x)*(1+(0.0435875+9.01961e-05*x+-1.30403e-07*x*x)) 
0,incl,up_uncorrelated,2,0.0,2.5,20.0,1000.0,0.0,1.0,(1.34198+-0.000555031*x+3.20633e-07*x*x+0.888495/x)*(1+(0.0490189)) 
1,incl,central,2,0.0,2.5,20.0,1000.0,0.0,1.0,1.35875+-0.000916722*x+6.33425e-07*x*x+-2.07301/x 
1,incl,down,2,0.0,2.5,20.0,1000.0,0.0,1.0,(1.35875+-0.000916722*x+6.33425e-07*x*x+-2.07301/x)*(1-(0.117907+0.000250773*x+-3.04922e-07*x*x)) 
1,incl,down_correlated,2,0.0,2.5,20.0,1000.0,0.0,1.0,(1.35875+-0.000916722*x+6.33425e-07*x*x+-2.07301/x)*(1-(0.0918339+0.000299479*x+-3.61757e-07*x*x)) 
1,incl,down_uncorrelated,2,0.0,2.5,20.0,1000.0,0.0,1.0,(1.35875+-0.000916722*x+6.33425e-07*x*x+-2.07301/x)*(1-(0.0738386)) 
1,incl,up,2,0.0,2.5,20.0,1000.0,0.0,1.0,(1.35875+-0.000916722*x+6.33425e-07*x*x+-2.07301/x)*(1+(0.117907+0.000250773*x+-3.04922e-07*x*x)) 
1,incl,up_correlated,2,0.0,2.5,20.0,1000.0,0.0,1.0,(1.35875+-0.000916722*x+6.33425e-07*x*x+-2.07301/x)*(1+(0.0918339+0.000299479*x+-3.61757e-07*x*x)) 
1,incl,up_uncorrelated,2,0.0,2.5,20.0,1000.0,0.0,1.0,(1.35875+-0.000916722*x+6.33425e-07*x*x+-2.07301/x)*(1+(0.0738386)) 
2,incl,central,2,0.0,2.5,20.0,1000.0,0.0,1.0,0.850069+1.99726/sqrt(x) 
2,incl,down,2,0.0,2.5,20.0,1000.0,0.0,1.0,(0.850069+1.99726/sqrt(x))*(1-(0.191031+0.000297068*x+-3.60129e-07*x*x)) 
2,incl,down_correlated,2,0.0,2.5,20.0,1000.0,0.0,1.0,(0.850069+1.99726/sqrt(x))*(1-(0.170404+0.000308588*x+-3.73869e-07*x*x)) 
2,incl,down_uncorrelated,2,0.0,2.5,20.0,1000.0,0.0,1.0,(0.850069+1.99726/sqrt(x))*(1-(0.0917417)) 
2,incl,up,2,0.0,2.5,20.0,1000.0,0.0,1.0,(0.850069+1.99726/sqrt(x))*(1+(0.191031+0.000297068*x+-3.60129e-07*x*x)) 
2,incl,up_correlated,2,0.0,2.5,20.0,1000.0,0.0,1.0,(0.850069+1.99726/sqrt(x))*(1+(0.170404+0.000308588*x+-3.73869e-07*x*x)) 
2,incl,up_uncorrelated,2,0.0,2.5,20.0,1000.0,0.0,1.0,(0.850069+1.99726/sqrt(x))*(1+(0.0917417)) 
0,comb,central,1,0.0,2.5,20.0,1000.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18)) 
0,comb,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18)) 
0,comb,down,1,0.0,2.5,20.0,30.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.054521717131137848 
0,comb,down,1,0.0,2.5,30.0,50.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.016713488847017288 
0,comb,down,1,0.0,2.5,50.0,70.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.024431154131889343 
0,comb,down,1,0.0,2.5,70.0,100.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.03021634928882122 
0,comb,down,1,0.0,2.5,100.0,140.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.024482157081365585 
0,comb,down,1,0.0,2.5,140.0,200.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.025664824992418289 
0,comb,down,1,0.0,2.5,200.0,300.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.13388586044311523 
0,comb,down,1,0.0,2.5,300.0,600.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.075516723096370697 
0,comb,down,1,0.0,2.5,600.0,1000.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.19868740439414978 
0,comb,down,0,0.0,2.5,20.0,30.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.021808687597513199 
0,comb,down,0,0.0,2.5,30.0,50.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0066853957250714302 
0,comb,down,0,0.0,2.5,50.0,70.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0097724618390202522 
0,comb,down,0,0.0,2.5,70.0,100.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.012086539529263973 
0,comb,down,0,0.0,2.5,100.0,140.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0097928624600172043 
0,comb,down,0,0.0,2.5,140.0,200.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.010265929624438286 
0,comb,down,0,0.0,2.5,200.0,300.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.053554344922304153 
0,comb,down,0,0.0,2.5,300.0,600.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.030206689611077309 
0,comb,down,0,0.0,2.5,600.0,1000.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.079474963247776031 
0,comb,down_correlated,1,0.0,2.5,100.0,140.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00661851727828 
0,comb,down_correlated,1,0.0,2.5,70.0,100.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0179857329003 
0,comb,down_correlated,1,0.0,2.5,200.0,300.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.128701375981 
0,comb,down_correlated,1,0.0,2.5,300.0,600.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.060087280691 
0,comb,down_correlated,1,0.0,2.5,140.0,200.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00605740223588 
0,comb,down_correlated,1,0.0,2.5,50.0,70.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0192642856842 
0,comb,down_correlated,1,0.0,2.5,20.0,30.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0466762614363 
0,comb,down_correlated,1,0.0,2.5,600.0,1000.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0962514093264 
0,comb,down_correlated,1,0.0,2.5,30.0,50.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0142801043013 
0,comb,down_correlated,0,0.0,2.5,100.0,140.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00264740685102 
0,comb,down_correlated,0,0.0,2.5,70.0,100.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00719429234844 
0,comb,down_correlated,0,0.0,2.5,200.0,300.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0514805512201 
0,comb,down_correlated,0,0.0,2.5,300.0,600.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0240349127938 
0,comb,down_correlated,0,0.0,2.5,140.0,200.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00242295931546 
0,comb,down_correlated,0,0.0,2.5,50.0,70.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00770571450745 
0,comb,down_correlated,0,0.0,2.5,20.0,30.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0186705055336 
0,comb,down_correlated,0,0.0,2.5,600.0,1000.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0385005614298 
0,comb,down_correlated,0,0.0,2.5,30.0,50.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00571204197275 
0,comb,down_uncorrelated,1,0.0,2.5,100.0,140.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0235705588477 
0,comb,down_uncorrelated,1,0.0,2.5,70.0,100.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0242804690314 
0,comb,down_uncorrelated,1,0.0,2.5,200.0,300.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0368968758455 
0,comb,down_uncorrelated,1,0.0,2.5,300.0,600.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0457416021404 
0,comb,down_uncorrelated,1,0.0,2.5,140.0,200.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0249397497992 
0,comb,down_uncorrelated,1,0.0,2.5,50.0,70.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0150255978016 
0,comb,down_uncorrelated,1,0.0,2.5,20.0,30.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0281770164719 
0,comb,down_uncorrelated,1,0.0,2.5,600.0,1000.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.173817003966 
0,comb,down_uncorrelated,1,0.0,2.5,30.0,50.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00868443035453 
0,comb,down_uncorrelated,0,0.0,2.5,100.0,140.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00942822316908 
0,comb,down_uncorrelated,0,0.0,2.5,70.0,100.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00971218798199 
